claim,headline,IsQuestion,HasTowParts,label
مسمومیت زا بودن شدید قارچهای خودرو (وحشی) مشابه قارچهای موجود در بازار !,قارچ قاتل,0,0,Unrelated
مسمومیت زا بودن شدید قارچهای خودرو (وحشی) مشابه قارچهای موجود در بازار !,تعداد فوتی‌های مسمومیت قارچ‌های خودرو به ۶ نفر رسید/ نیاز ۲۳ مسموم به پیوند کبد/مردم از مصرف قارچ‌های طبیعی خودداری کنند,0,0,Agree
مسمومیت زا بودن شدید قارچهای خودرو (وحشی) مشابه قارچهای موجود در بازار !,هموطن هر قارچی را نباید خورد / ٩ استان کشور درگیر قارچ‌های سمی,0,0,Discuss
مسمومیت زا بودن شدید قارچهای خودرو (وحشی) مشابه قارچهای موجود در بازار !,درمان فوری مسمومیت با این موادغذایی/ شنبليله و زنجبيل را دست كم نگيريد,0,0,Unrelated
 ماشین BMW i8 2016 پسر علی لاریجانی️ !,جنجال خودروی منتسب به فرزند رئیس مجلس,0,0,Discuss
 ماشین BMW i8 2016 پسر علی لاریجانی️ !, خودرویی که به فرزند رئیس مجلس منتصب شد جنجال به پا کرد + عکس خودرو و توضیحات صاحب خودرو,0,0,Discuss
 ماشین BMW i8 2016 پسر علی لاریجانی️ !,شرکت BMW خودروهایی با طلای ۲۴ عیار ساخته است,0,0,Unrelated
سند واگذاری 250 میلیون تومان به برانکو جهت حمایت از کالای ایرانی !,ماجرای دریافت 250 میلیونی برانکو برای تبلیغ کالای ایرانی!,0,0,Discuss
سند واگذاری 250 میلیون تومان به برانکو جهت حمایت از کالای ایرانی !,‏گران‌ترین آگهی اینستاگرام در ایران برای تبلیغ ‎کالای ایرانی به ‎برانکو تعلق گرفت +سند,0,0,Agree
سند واگذاری 250 میلیون تومان به برانکو جهت حمایت از کالای ایرانی !,سندی که نشان می‌دهد وزارت ورزش به برانکو ۲۵۰ میلیون تومان برای تبلیغ کالای ایرانی پرداخت کرده است + عکس,0,0,Agree
سند واگذاری 250 میلیون تومان به برانکو جهت حمایت از کالای ایرانی !,تکذیب پرداخت 250 میلیون تومان به برانکو از سوی وزارت ورزش+عکس,0,0,Discuss
سند واگذاری 250 میلیون تومان به برانکو جهت حمایت از کالای ایرانی !,نمایش یک زن 7 هزار ساله در تهران + فیلم,0,0,Unrelated
 ملاقات کمال خرازی با جان کری در پاریس !,دیدار کمال خرازی و جان کری در پاریس!,0,0,Agree
 ملاقات کمال خرازی با جان کری در پاریس !,تکذیب خبر دیدار کمال خرازی با جان کری,0,0,Discuss
 ملاقات کمال خرازی با جان کری در پاریس !,‍ جنجال بر سر ادعای ملاقات جان کری و رئیس شورای راهبردی روابط خارجی ایران در پاریس,0,0,Discuss
 ملاقات کمال خرازی با جان کری در پاریس !,تکذیب خبر دیدار کمال خرازی با جان کری,0,0,Discuss
 ملاقات کمال خرازی با جان کری در پاریس !,خبر دیدار خرازی با کری دروغ محض است,0,0,Disagree
 ملاقات کمال خرازی با جان کری در پاریس !,خبر دیدار خرازی با جان کری تکذیب شد,0,0,Discuss
 ملاقات کمال خرازی با جان کری در پاریس !,دیدار خرازی با جان کری تکذیب شد,0,0,Discuss
 ملاقات کمال خرازی با جان کری در پاریس !,خرازی:‌ قصور اروپا در تعهدات برجامی پذیرفتنی نیست,0,0,Unrelated
توقیف کارتن های دلار و تصاویر هادی العامری، ارسالی از ایران،در مرز عراق !,توقیف کارتن های دلار و تصاویر هادی العامری، ارسالی از ایران،در مرز عراق !,0,0,Agree
توقیف کارتن های دلار و تصاویر هادی العامری، ارسالی از ایران،در مرز عراق !,توقیف یک محموله بزرگ شامل ۳۱ کارتن بسته‌های اسکناس ۱۰۰دلاری در مرز عراق,0,0,Discuss
توقیف کارتن های دلار و تصاویر هادی العامری، ارسالی از ایران،در مرز عراق !,بازگشت آقای بازیگر با چکمه‌های کابویی‌اش +عکس,0,0,Unrelated
 استعفای رئیس کل بانک مرکزی !,استعفای رئیس کل بانک مرکزی/ دولت در حال رایزنی برای معرفی جایگزین سیف,0,0,Agree
 استعفای رئیس کل بانک مرکزی !,پشت پرده استعفای رئیس کل بانک مرکزی,0,0,Discuss
 استعفای رئیس کل بانک مرکزی !,استعفای رئیس بانک مرکزی صحت ندارد,0,0,Disagree
 استعفای رئیس کل بانک مرکزی !,خبر استعفای رییس بانک مرکزی تایید نشد,0,0,Discuss
 استعفای رئیس کل بانک مرکزی !,رئیس کل بانک مرکزی استعفا داد / نهاوندیان جایگزین سیف می شود ؟,0,0,Agree
 استعفای رئیس کل بانک مرکزی !, احتمال اخراج رئیس بانک مرکزی آمریکا قوت گرفت,0,0,Unrelated
دریافت یک میلیون از معلولان بابت ثبت نام طرح ترافیک️ !,تکذیب دریافت هزینه یک میلیونی از معلولان برای ثبت نام طرح ترافیک,0,0,Discuss
دریافت یک میلیون از معلولان بابت ثبت نام طرح ترافیک️ !,   دریافت هزینه یک میلیون تومانی از معلولان برای ثبت نام طرح ترافیک تکذیب شد,0,0,Discuss
دریافت یک میلیون از معلولان بابت ثبت نام طرح ترافیک️ !,معافیت معلولان و بیماران خاص از پیش‌پرداخت یک‌میلیون تومانی طرح ترافیک,0,0,Disagree
دریافت یک میلیون از معلولان بابت ثبت نام طرح ترافیک️ !,آخرین وضعیت سهمیه طرح ترافیک معلولان/ تحمیل هزینه میلیونی به معلولان,0,0,Agree
دریافت یک میلیون از معلولان بابت ثبت نام طرح ترافیک️ !,ابطال کارت‌های ملی قدیمی برخی افراد از هفته آینده,0,0,Unrelated
 فعالیت کانال های ناجا در تلگرام️ !, پلیس فتا در تلگرام صفحه رسمی ندارد,0,0,Disagree
 فعالیت کانال های ناجا در تلگرام️ !,پلیس فتا در تلگرام ، صفحه رسمی ندارد/ایجاد صفحه جعلی پلیس،جرم است,0,0,Disagree
 فعالیت کانال های ناجا در تلگرام️ !,سردار منتظرالمهدی از معاونت اجتماعی ناجا خداحافظی کرد,0,0,Unrelated
فروش پیام‌رسان بومی "آی‌گپ" به ستاد اجرایی فرمان امام  !,فروش پیام‌رسان بومی "آی‌گپ" به ستاد اجرایی فرمان امام تکذیب شد,0,0,Discuss
فروش پیام‌رسان بومی "آی‌گپ" به ستاد اجرایی فرمان امام  !,فروش پیام‌رسان بومی "آی‌گپ" به ستاد اجرایی فرمان امام تکذیب شد,0,0,Discuss
سوءقصد به سعید مرتضوی در اوین و اقدام افرادی به دار زدن او️ !,سوء قصد به سعید مرتضوی تکذیب شد,0,0,Discuss
سوءقصد به سعید مرتضوی در اوین و اقدام افرادی به دار زدن او️ !,دیده‌بان حقوق بشر از اجرا نشدن حکم سعید مرتضوی انتقاد کرد,0,0,Unrelated
سوءقصد به سعید مرتضوی در اوین و اقدام افرادی به دار زدن او️ !,سعید مرتضوی به ١٣۵ضربه شلاق محکوم شد,0,0,Unrelated
فیلترینگ تلگرام باتصمیم شورای عالی فضای مجازی !,فیلترینگ تلگرام با تصمیم شورای عالی فضای مجازی بوده است,0,0,Agree
فیلترینگ تلگرام باتصمیم شورای عالی فضای مجازی !,تلگرام با تصمیم شورای عالی فضای مجازی فیلتر شد,0,0,Agree
فیلترینگ تلگرام باتصمیم شورای عالی فضای مجازی !,فیلترینگ تلگرام با تصمیم شورای عالی فضای مجازی بوده است,0,0,Agree
فیلترینگ تلگرام باتصمیم شورای عالی فضای مجازی !,شورای عالی فضای مجازی مصوبه ای درباره فیلتر تلگرام نداشته است,0,0,Disagree
فیلترینگ تلگرام باتصمیم شورای عالی فضای مجازی !,شورای عالی فضای مجازی مصوبه ای درباره فیلتر تلگرام نداشته است,0,0,Disagree
فیلترینگ تلگرام باتصمیم شورای عالی فضای مجازی !,تاکید مجدد ترامپ بر خروج نیروهای آمریکایی از سوریه,0,0,Unrelated
خودداری صرافی‌های عراق از تبدیل ریال به دینار و سایر ارزها️ !,عدم دریافت و تبدیل ریال در عراق شایعه است,0,0,Disagree
خودداری صرافی‌های عراق از تبدیل ریال به دینار و سایر ارزها️ !,بازار داغ خرید دینار عراق/ صرافی بانکها دلار را ۱۳۴۰۰ می‌فروشند,0,0,Unrelated
خودداری صرافی‌های عراق از تبدیل ریال به دینار و سایر ارزها️ !,مشکلات زائران اربعین برای تهیه ارز/ خرید دینار از شعب ۳ بانک در عراق فراهم شد,0,0,Discuss
عرضه نسخه های غیرقابل فیلتر تلگرام !,انتشار نسخه بلاک چین تلگرام و تلگرام ضد فیلتر,0,0,Agree
عرضه نسخه های غیرقابل فیلتر تلگرام !,آیا با کمک Blockchain تلگرام به زودی غیر قابل فیلتر می شود!,0,0,Discuss
عرضه نسخه های غیرقابل فیلتر تلگرام !,بار دیگر؛ تلگرامی که ضدفیلتر شد!,0,0,Agree
عرضه نسخه های غیرقابل فیلتر تلگرام !, تلگرام، غیرقابل فیلتر می شود,0,0,Discuss
عرضه نسخه های غیرقابل فیلتر تلگرام !,بازتاب جهانی رفع فیلتر تلگرام,0,0,Discuss
به فاضلاب ریختن قرآن ها توسط عربستانیها درپی واگذاری اسلام به ایرانیان توسط پادشاه عربستان ! / شایعه 0868,به فاضلاب ریختن قرآن ها توسط عربستانیها درپی واگذاری اسلام به ایرانیان توسط پادشاه عربستان ! / شایعه 0868,0,0,Agree
به فاضلاب ریختن قرآن ها توسط عربستانیها درپی واگذاری اسلام به ایرانیان توسط پادشاه عربستان ! / شایعه 0868,آیا برجام واقعا ۱۵۰ میلیارد دلار پول به ایران داد؟,0,0,Unrelated
به فاضلاب ریختن قرآن ها توسط عربستانیها درپی واگذاری اسلام به ایرانیان توسط پادشاه عربستان ! / شایعه 0868,انتشار ترجمه کتاب «امام مهدی (عج) موجود موعود» به زبان اردو,0,0,Unrelated
موافقت وزیر ارتباطات با فیلترینگ تلگرام !,تکذیب خبر موافقت وزیر ارتباطات با فیلترینگ تلگرام,0,0,Discuss
موافقت وزیر ارتباطات با فیلترینگ تلگرام !,روایت حزب مؤتلفه از موافقت آذری جهرمی با فیلترینگ تلگرام,0,0,Discuss
موافقت وزیر ارتباطات با فیلترینگ تلگرام !,وزیر ارتباطات: موافقتم با فیلترینگ تلگرام صحت ندارد,0,0,Discuss
موافقت وزیر ارتباطات با فیلترینگ تلگرام !,تکذیب ادعای عضو جوان حزب موتلفه مبنی بر موافقت وزیر ارتباطات با فیلترینگ تلگرام,0,0,Discuss
